0,45087;0;0,04832;1;0,5;2;0,4503;3;0,5;4;0,16738;5
0,45044;;0,0431;;0,5;;0,44983;;0,5;;0,12388;
0,45041;;0,03893;;0,5;;0,44996;;0,5;;0,13195;
0,45022;;0,03863;;0,5;;0,44984;;0,5;;0,12424;
0,4499;;0,04476;;0,5;;0,4498;;0,5;;0,11709;
0,44925;;0,03265;;0,5;;0,44985;;0,5;;0,11162;
0,44795;;0,03238;;0,5;;0,45001;;0,5;;0,10812;
0,44066;;0,04298;;0,5;;0,44985;;0,5;;0,12324;
0,41953;;0,02954;;0,5;;0,44984;;0,5;;0,09259;
0,39773;;0,03412;;0,5;;0,44971;;0,5;;0,08908;
0,37052;;0,02772;;0,5;;0,44994;;0,5;;0,08541;
0,35501;;0,02918;;0,5;;0,44995;;0,5;;0,11325;
0,3309;;0,02965;;0,5;;0,4497;;0,5;;0,10049;
0,30615;;0,02542;;0,5;;0,44995;;0,5;;0,10285;
0,27409;;0,02907;;0,5;;0,44979;;0,5;;0,09873;
0,25186;;0,03565;;0,5;;0,44985;;0,5;;0,09386;
0,24395;;0,03293;;0,5;;0,44951;;0,5;;0,07775;
0,22721;;0,02501;;0,5;;0,44951;;0,5;;0,06929;
0,20718;;0,02884;;0,5;;0,44944;;0,5;;0,0854;
0,18755;;0,02523;;0,5;;0,44928;;0,5;;0,10634;
0,17398;;0,02474;;0,5;;0,44894;;0,5;;0,09395;
0,16249;;0,01899;;0,5;;0,44865;;0,5;;0,08589;
0,14545;;0,02661;;0,5;;0,44825;;0,5;;0,08503;
0,13521;;0,02653;;0,5;;0,44804;;0,5;;0,07246;
0,13485;;0,0283;;0,5;;0,44777;;0,5;;0,07613;
0,1321;;0,02527;;0,5;;0,44767;;0,5;;0,06878;
0,12685;;0,02795;;0,5;;0,44658;;0,5;;0,07885;
0,12214;;0,02197;;0,5;;0,44686;;0,5;;0,08198;
0,11655;;0,02545;;0,5;;0,44597;;0,5;;0,08427;
0,11091;;0,02781;;0,5;;0,44524;;0,5;;0,07711;
0,10933;;0,02155;;0,5;;0,44467;;0,5;;0,07013;
0,1063;;0,02701;;0,5;;0,44523;;0,5;;0,06715;
0,09977;;0,03172;;0,5;;0,44428;;0,5;;0,07284;
0,09871;;0,0233;;0,5;;0,44319;;0,5;;0,07634;
0,10924;;0,02814;;0,5;;0,44263;;0,5;;0,07183;
0,09572;;0,02611;;0,5;;0,44264;;0,5;;0,06452;
0,09468;;0,02409;;0,5;;0,44199;;0,5;;0,07865;
0,09111;;0,02574;;0,5;;0,44059;;0,5;;0,07338;
0,09193;;0,02113;;0,5;;0,44105;;0,5;;0,07857;
0,08258;;0,02587;;0,5;;0,44008;;0,5;;0,0744;
0,07705;;0,02625;;0,5;;0,43928;;0,5;;0,07203;
0,09058;;0,02764;;0,5;;0,43787;;0,5;;0,06536;
0,09592;;0,02212;;0,5;;0,4383;;0,5;;0,0561;
0,09069;;0,02244;;0,5;;0,43806;;0,5;;0,07923;
0,07879;;0,02398;;0,5;;0,43766;;0,5;;0,08259;
0,08362;;0,01941;;0,5;;0,43702;;0,5;;0,0674;
0,07863;;0,01495;;0,5;;0,43562;;0,5;;0,06195;
0,07375;;0,02068;;0,5;;0,43536;;0,5;;0,07059;
0,06721;;0,02157;;0,5;;0,43507;;0,5;;0,06618;
0,07913;;0,02361;;0,5;;0,43512;;0,5;;0,07428;
0,08261;;0,01943;;0,5;;0,43535;;0,5;;0,05469;
0,08409;;0,02535;;0,5;;0,43235;;0,5;;0,06413;
0,08091;;0,02125;;0,5;;0,43427;;0,5;;0,07609;
0,0799;;0,02032;;0,5;;0,43236;;0,5;;0,07727;
0,07641;;0,02759;;0,5;;0,43072;;0,5;;0,07953;
0,07661;;0,01801;;0,5;;0,42991;;0,5;;0,07093;
0,078;;0,02428;;0,5;;0,4325;;0,5;;0,06647;
0,07108;;0,02477;;0,5;;0,43069;;0,5;;0,06821;
0,07151;;0,02147;;0,5;;0,4288;;0,5;;0,07221;
0,08374;;0,02508;;0,5;;0,42827;;0,5;;0,07195;
0,07194;;0,01921;;0,5;;0,42888;;0,5;;0,06135;
0,07363;;0,02316;;0,5;;0,42787;;0,5;;0,0707;
0,07055;;0,02061;;0,5;;0,42607;;0,5;;0,06639;
0,07188;;0,01878;;0,5;;0,42685;;0,5;;0,07108;
0,06514;;0,02119;;0,5;;0,42571;;0,5;;0,07308;
0,05945;;0,02329;;0,5;;0,42446;;0,5;;0,06367;
0,07284;;0,02296;;0,5;;0,42249;;0,5;;0,06316;
0,07955;;0,01972;;0,5;;0,42379;;0,5;;0,04995;
0,07475;;0,01913;;0,5;;0,42355;;0,5;;0,06384;
0,06371;;0,02093;;0,5;;0,42353;;0,5;;0,07927;
